137004086	lakoissa	lakko|lakka	lakka	Liuottimien ja vaarallisten aineiden määrää maaleissa ja	lakoissa	on vähennettävä , mutta siihen tarvitaan suunnitelmaa , joka on mahdollista toteuttaa myös käytännössä .
54588574	maataloustilanne	maa#talous#tila|maa#talous#tilanne	maa#talous#tilanne	Euroopan	maataloustilanne	on hyvin epäsuotuisa .
64903710	toimintojen	toiminto|toiminta	toiminta	Tiedämme myös , että on olemassa näkökohtia , jotka liittyvät poliittiseen vuoropuheluun , yhteisten kantojen tai	toimintojen	hyväksymiseen , yhteisten strategioiden laatimiseen , ennalta ehkäisevään diplomatiaan ja alueellisten kriisinehkäisy- ja kriisinhallintavalmiuksien kehittämiseen .
111368966	toimintojen	toiminto|toiminta	toiminta	Sosioekonomisten ongelmien kohdalla erilaisiin suunnittelu- ja toteutusvaiheessa oleviin toimintoihin osoitetaan unionin Tacis-ohjelman varoista noin 40 miljoonaa euroa , jotka kohdistetaan toimenpidepakettiin monenlaisten	toimintojen	kehittämiseksi erillisalueella .
54581148	toimintojen	toiminto|toiminta	toiminta	#NAME?	toimintojen	kanssa yhteistyössä alueellisten ja paikallisten viranomaisten kanssa ;
96490060	toimintojen	toiminto|toiminta	toiminta	Voitaisiinko neuvoston mielestä tämän pelastuspalvelun toiminnallinen päämaja sijoittaa Shannoniin , jossa monien tärkeiden	toimintojen	lisäksi on suuri kansainvälinen lentokenttä , jota voitaisiin käyttää voimavarojen ja hätäavun toimittamiseen kolmansiin maihin , ja joka voisi toimia seerumeita ja rokotteita koskevan tiedonvaihdon - joka myös mainitaan neuvoston päätöksessä - keskuksena ?
98401232	toimintojen	toiminto|toiminta	toiminta	Ne pirstovat markkinoita ja voivat johtaa	toimintojen	liukumiseen edullisimmalle alueelle .
66739308	sakkojen	sakka|sakko	sakko	Haluan sanoa , että komissio tiedostaa , että parlamentti on huolissaan siitä , että tämä ehdotus saattaa johtaa yksityisten liikenteenharjoittajien tai tiettyjen maiden kuorma-autojen tai jopa tiettyjen ajoneuvomerkkien syrjimiseen , ja että esittelijän suosituksen tavoitteena on jäsenvaltioiden liikenteenharjoittajille määräämien	sakkojen	yhdenmukaistaminen direktiivin soveltamisen ehtona .
59713022	sakkojen	sakka|sakko	sakko	Esimerkiksi yksi niistä alueista , joita ei mielestäni ole vielä tutkittu tarpeeksi , on	sakkojen	suhteellisuus :
75616661	sakkojen	sakka|sakko	sakko	Olen sitä mieltä , että takavarikointisäännöt ovat tärkeämpiä kuin kovien rangaistusten ja kovien	sakkojen	vaatiminen .
214293345	sakkojen	sakka|sakko	sakko	Eroja ei kuitenkaan ole ainoastaan	sakkojen	määrässä , vaan myös seuraamusten tyyppi ja yksittäisten rikkeiden luokittelu eroavat toisistaan huomattavasti .
225358260	sakkoina	sakka|sakko	sakko	Lehdistönvapaus koko EU:ssa vaarantuu , jos Unkariin perustetaan poliittisesti nimitetty medianeuvosto ja tiedotusvälineiden täytyy maksaa miljoonia euroja	sakkoina	.
106687412	ympäristötilanne	ympäristö#tila|ympäristö#tilanne	ympäristö#tila	Etelä-Kaukasian	ympäristötilanne	on hälyttävä .
227758906	ympäristötilanne	ympäristö#tila|ympäristö#tilanne	ympäristö#tilanne	Alueen terveys- ja	ympäristötilanne	on jo erittäin huolestuttava .
70398346	Ympäristötilanne	ympäristö#tila|ympäristö#tilanne	ympäristö#tilanne		Ympäristötilanne	Alpeilla on erityisen vaikea .
79611789	ympäristötilanne	ympäristö#tila|ympäristö#tilanne	ympäristö#tilanne	Parhaassa tapauksessa se pysyy lähellä Euroopan ympäristökeskusta , joka tekee erinomaista tiedotustyötä , mutta keskuksestakin sanotaan , että Euroopan	ympäristötilanne	ei parane .
142076869	haaveista	haave|haavi	haave	Annamme tunnustusta työllenne , komission jäsenen Verheugenin työlle ja niiden satojen vastuuntuntoisten komission virkamiesten työlle , jotka tekivät	haaveista	totta .
165105372	haaveissamme	haave|haavi	haave	Tiesimme , että	haaveissamme	oli vahvempi Euroopan unioni mutta että aikaansaannos oli sellainen , joka oli silloisessa tilanteessa mahdollinen .
78196088	haaveistani	haave|haavi	haave	Olen haaveilija , jolla on jalat lujasti maan pinnalla , joten en luovu	haaveistani	, vaan yritän toimia niiden konkretisoimiseksi .
36643867	perustilanne	perus#tila|perus#tilanne	perus#tilanne	Tämä	perustilanne	ei muutu paremmalla valvonnalla , vaan kokonaan toisenlaisella politiikalla .
95690453	perustilanne	perus#tila|perus#tilanne	perus#tilanne	Maltan poliittinen	perustilanne	ei ole muuttunut .
95690691	perustilanne	perus#tila|perus#tilanne	perus#tilanne	Maltan poliittinen	perustilanne	, nimittäin hallituksen ja opposition erilainen suhtautuminen EU -jäsenyyteen , ei ole muuttunut , ja hallituksen ja labour-puolueen muodostaman opposition vastakkainasettelu on pikemminkin kärjistynyt .
63794148	voitettava	voittaa|voitaa	voittaa	Me olemme myös sitä mieltä , että poliittisten päätöksentekijöiden on vihdoinkin	voitettava	itsensä ja kysyttävä kansalaisilta hallitustenvälisen konferenssin päättymisen jälkeen kansanäänestyksissä , ovatko he samaa mieltä siitä , miten heidän Eurooppansa kehittyy jatkossa .
101402309	voitettava	voittaa|voitaa	voittaa	Jäsenvaltiot ovat kuitenkin yhä haluttomia etenemään joillakin arkaluonteisilla aloilla , kuten maahanmuutto tai viisumit , ja tämä vastahakoisuus on	voitettava	voimakkaammalla poliittisella tahdolla .
63640978	voitettava	voittaa|voitaa	voittaa	Meidän on	voitettava	uudelleen heidän luottamuksensa EU:n politiikkaa kohtaan .
127423619	voitettava	voittaa|voitaa	voittaa	Ovatko strateginen lähestymistapa ja valvonta ainoa keino hävittää terrorismi , vai onko meidän todella	voitettava	sellaisten alueiden ihmisten sydämet ja mielet , joilla väkivalta ja konfliktit johtavat usein terrorismiin ?
210241647	voitettava	voittaa|voitaa	voittaa	Israelilaisten ja palestiinalaisten työläisten on yhdessä	voitettava	heidän elinoloihinsa ja demokraattisiin oikeuksiinsa kohdistuvat hyökkäykset .
12333867	purin	purra|purkaa	purkaa	Ensimmäinen päätös , jonka tein siinä vaiheessa kun en vielä ymmärtänyt asiaa selvästi , oli se että	purin	sopimukset kaikkine poliittisine seurauksineen , kuten jatkossa selvitän .
34282118	purin	purra|purkaa	purkaa	Nuorena lastasin autoihin ja	purin	niistä satoja ja taas satoja sikoja ja nautoja .
239550386	hallintojen	hallinta|hallinto	hallinto	Unionin täytyisi kuitenkin olla tietoinen siitä , että jäsenvaltiot yrittävät täyttää EU:n niille asettamat talousarviovaatimukset heikentämällä valtiotasoa alemman tason	hallintojen	taloutta .
183149733	hallintojen	hallinta|hallinto	hallinto	Kun puhumme Pohjois-Amerikan turvallisuutta koskevista yhteyksistämme , on tehtävä ero eri	hallintojen	välillä .
10977073	hallintojen	hallinta|hallinto	hallinto	Jos vielä on olemassa esteitä , niin ne ovat suurimmaksi osaksi kansallisten hallitusten ja alueellisten	hallintojen	tasolla ja usein viimeksi mainitun ja paikallisten viranomaisten välillä .
179666968	hallinnoista	hallinta|hallinto	hallinto	Tässä yhteydessä - ja jotkut teistä ovat korostaneet tätä kohtaa - tieto , joka koskee kokemuksia muuntyyppisistä totalitaarisista	hallinnoista	, voi olla hyödyksi , kun pyritään tunnistamaan tavat , joilla tuomitsemanne hyväksikäyttö ja väkivalta itse asiassa pääsi tapahtumaan .
194884647	hallintoja	hallinta|hallinto	hallinto	Epädemokraattisia	hallintoja	hallitsee jatkuvasti ikuinen pelko , minkä takia ne vainoavat toimittajia , vangitsevat ja kiduttavat heitä ja jopa tappavat heitä .
25815815	katastrofitilanne	katastrofi#tilanne|katastrofi#tila	katastrofi#tilanne	V -ryhmä haluaa , että KEDOn kautta tapahtuva uusien ydinvoimaloiden rakentaminen pysäytetään tai ainakin keskeytetään tilapäisesti , kunnes välitön inhimillistä hätää aiheuttava	katastrofitilanne	Pohjois-Koreassa on poistettu .
63426679	katastrofitilanne	katastrofi#tilanne|katastrofi#tila	katastrofi#tilanne	Lisäksi täytyy käyttää ylimääräistä budjettikohtaa , koska tämä	katastrofitilanne	on aivan poikkeuksellinen .
91018550	katastrofitilanne	katastrofi#tilanne|katastrofi#tila	katastrofi#tilanne	Tuloksena on tämänhetkinen	katastrofitilanne	.
93660965	katastrofitilanne	katastrofi#tilanne|katastrofi#tila	katastrofi#tilanne	Sabenan	katastrofitilanne	osoittaa , että lähiaikoina voi olla kyse tuhansista työpaikoista .
163695747	Joet	Joki|Joe	Joki		Joet	ja tulvat eivät kunnioita valtioiden rajoja .
83177658	veroistamme	verka|vero	vero	Haluaisimme myös itse päättää omista	veroistamme	ja hylätä ajatuksen yhteisestä verojärjestelmästä .
47366090	veroista	verka|vero	vero	Siinä veroa perivät valtiot ja	veroista	vapauttavat valtiot elävät rinnakkain .
171018520	veroista	verka|vero	vero	Olemme asettaneet aikarajoja , joiden pitäminen on vaikeaa tai kallista , ja olemme järjettömästi laiminlyöneet vaatimusta hiilidioksiditasoon perustuvista	veroista	jäsenvaltioissa , jonka vuoksi hiilidioksidia tuottavia vanhoja ajoneuvoja on edelleen markkinoilla ja maanteillä .
18314667	veroista	verka|vero	vero	Jäsenvaltiot perivät kuitenkin suurimman osan välillisistä	veroista	ja haittaveroista .
120778389	veroillaan	verka|vero	vero	Nämä varat pitäisi käyttää julkisten palvelujen tarjoamien hyödyllisten työpaikkojen luomiseen , eikä kaikkein köyhimpiä kansalaisia saisi pakottaa rahoittamaan omilla	veroillaan	nimenomaan heidän avustamiseensa tarkoitettuja rahastoja , eikä huomattavia rahamääriä saisi kuluttaa näiden alueiden työnantajien tukemiseen ja huvialusten rakentamiseen rikkaille .
159720028	elämäntilanne	elämä#tila|elämä#tilanne	elämä#tilanne	Näitä ovat esimerkiksi vauraus , nuorten	elämäntilanne	, elinympäristö , se , onko heillä lähellään aktiivista isä- tai äitihahmoa vai eikö heillä ole lähellään vanhempia lainkaan , se , valvotaanko nuorten pääsyä tiedotusvälineisiin ja Internetiin - toisin sanoen , valvovatko vanhemmat mitenkään heitä vai voivatko he käyttää Internetiä täysin vapaasti - koulutustaso ja perheen sosioekonominen taso .
85204330	elämäntilanne	elämä#tila|elämä#tilanne	elämä#tilanne	Naisten on aina osoitettava taitonsa erikseen , ratkaisevaa ei ole ainoastaan osaaminen vaan koko	elämäntilanne	.
95323948	sopusointuisemman	sopu#sointuisa|sopu#sointuinen	sopu#sointuinen	Kaikki tämä tekee yrityksestä entistä	sopusointuisemman	yhteisön , jossa on vähemmän ristiriitoja .
52770860	sopusointuisille	sopu#sointuisa|sopu#sointuinen	sopu#sointuinen	Tämän ymmärtäminen on hyväksi ihmisten välisille	sopusointuisille	suhteille .
123276040	sopusointuisemmin	sopu#sointuisa|sopu#sointuinen	sopu#sointuinen	Siinä vahvistetaan , että on kehitettävä parempia tapoja sovittaa yleishyödyllisiä palveluja koskevat periaatteet ja perustamissopimuksen muut tavoitteet , etenkin sisämarkkinoiden ja vapaan kilpailun alalla ,	sopusointuisemmin	ja johdonmukaisemmin yhteen .
235517595	sopusointuisemmin	sopu#sointuisa|sopu#sointuinen	sopu#sointuinen	Jos enemmistön kouluissa opetettaisiin vähemmistöyhteisöjen historiaa ja kirjallisuutta ja jos vähemmistön koulutustoimet liitettäisiin enemmistön kulttuuriin , yhdessä elävät yhteisöt tulisivat keskenään toimeen vielä	sopusointuisemmin	.
61483838	sopusointuisemman	sopu#sointuisa|sopu#sointuinen	sopu#sointuinen	Ja niistä , jotka meidän sosialistien tavoin näkevät kaupankäynnin välineenä entistä	sopusointuisemman	ja vauraamman yhteiskunnan saavuttamiseksi , tämä tilanne ei voi olla vaikuttamatta huolestuttavalta .
110375098	kantoihin	kanta|kanto	kanta	Minusta on kuitenkin äärimmäisen tärkeää säilyttää koko kansainvälisen yhteisön yhteisiin	kantoihin	perustuva yhtenäisyys .
111136931	kantojaan	kanta|kanto	kanta	Olen sitä mieltä , että parlamentti ja neuvosto ovat selvästi lähentäneet	kantojaan	;
124115294	kantojaan	kanta|kanto	kanto	Arvoisa puhemies , en voi olla ihmettelemättä tapaa , jolla monet täällä läsnä olevat jäsenet esittävät	kantojaan	tästä erittäin mutkikkaasta aiheesta , vaikka he eivät ole koskaan osallistuneet aihetta koskeviin keskusteluihin .
185494811	kantoihin	kanta|kanto	kanta	maaliskuuta 2008 hyväksymiin ja komission tukemiin yhteisiin	kantoihin	.
208032234	kantoihin	kanta|kanto	kanta	Päätöslauselmassa kehotetaan unionin ulko- ja turvallisuuspolitiikan korkeaa edustajaa sekä jäsenvaltioita seuraamaan aktiivisesti Goldstonen raporttiin sisältyvien suositusten täytäntöönpanoa kuulemalla EU:n ulkoisia operaatioita ja alalla toimivia valtioista riippumattomia järjestöjä sekä pyydetään , että kyseiset suositukset ja niihin liittyvät huomiot sisällytetään EU:n kaikkien osapuolten kanssa käymään vuoropuheluun sekä EU:n	kantoihin	monenvälisillä foorumeilla .
211315829	supermarketeille	super#marketti|super#market	super#market	Kaikenlaisilla pyrkimyksillä sääntöjen uudelleen käyttöön ottamiseksi lisätään olennaisilta osin jalostajille , myymäläketjuille ja	supermarketeille	tarjoutuvia tilaisuuksia vaikeuttaa tuottajien toimintaa , ilman että kuluttajille aiheutuisi välitöntä hyötyä .
166135817	supermarketeille	super#marketti|super#market	super#market	Halpojen herkkusienten maahantuojat nostavat tuontituotteiden hintaa ja myyvät ne paikallisille	supermarketeille	, jotka puolestaan teeskentelevät myyvänsä paikallisia tuotteita , ja he ovat syrjäyttäneet viljelijät täysin .
13780738	supermarketeista	super#marketti|super#market	super#market	Euroopan kansalaiset , myös kuluttajan ominaisuudessa , eivät tapaa euroa pankeista , vaan ennen kaikkea myymälöistä ,	supermarketeista	, matkatoimistoista ja ravintoloista , ja niissä heidän on löydettävä yrittäjä , virkailija tai kassahenkilö , joka on valmis selittämään yhtenäisvaluutan toimintaa .
198746642	supermarketeille	super#marketti|super#market	super#market	Tarvitsemme oikeusasiamiehen , jonkun , joka kertoo	supermarketeille	, että ne ylittävät valtuutensa , huijaavat ihmisiä , ryöstävät tuottajia ja menettelyllään pakottavat heidät lopettamaan toimintansa .
105176757	supermarketeille	super#marketti|super#market	super#market	Jos toteutamme ne osittaiset uudistukset , joita komission jäsen on tänään ehdottanut , ja toteutamme ne avaamalla markkinat harmaan kaupan	supermarketeille	, erityisesti Internet-myynnille , eikö silloin ryhmäpoikkeus menetä merkityksensä , ja koska koittaa päivä , jolloin todellakin pääsemme näistä säännöistä eroon ?
148557539	matojen	mata|mato	mato	Zimbabwen poliisin pääjohtaja totesi eilen , että sen on puhdistettava maansa ” matelevien	matojen	massasta ” .
196076898	matojen	mata|mato	mato	Ampiaisten tai maasiirojen tai ahmojen tai	matojen	puolesta ei elämöidä lainkaan samalla tavoin kuin hylkeenpyynnistä .
124794102	Kimille	Kimi|Kim	Kim	Ei ole selvää , onko	Kimille	mahdollista puhua järkevästi .
44493950	Kimille	Kimi|Kim	Kim	Haluaisin kuitenkin lisätä , että tukemalla sitä meillä on mahdollisuus antaa presidentti	Kimille	ja hänen liittolaisilleen , jotka ovat vakaasti sitoutuneet talousuudistukseen ja joita kohtaa vahvat , muuttumattomat tällaisia uudistuksia vastustavat edut sekä jotka ovat myös sitoutuneita poistamaan korruptiota ja lisäämään demokratiaa Koreassa .
149879119	pesisi	pesiä|pestä	pestä	Näiden kahden maan hallitusta kehotettiin ratkaisemaan ongelma , samalla kun komissio pysyisi sivussa ja	pesisi	kätensä asiasta .
211155108	pesi	pesiä|pestä	pestä	Tänään korkea edustaja Ashton on kuin Pontius Pilatus , joka	pesi	kätensä .
225972816	pesi	pesiä|pestä	pestä	Toinen esimerkki siitä , miten Euroopan unioni ei tee sitä , mitä pitäisi Sahelissa , on tapa , jossa se	pesi	kätensä etsittäessä vastausta Länsi-Saharan konfliktiin .
79312283	pesi	pesiä|pestä	pestä	Vasta viime viikonloppuna saimme kuulla , että Nigerian kenraali Abacha	pesi	4,5 miljardia lontoolaisten pankkien kautta asianmukaisten viranomaisten tietämättä .
95185715	pesi	pesiä|pestä	pestä	Baia Maren tapauksessa sen jälkeen , kun katastrofi oli sattunut , australialainen pääosakas veti pääomansa pois yrityksestä ja	pesi	kätensä Tiszan ja suurimman osan Tonavan eläimistön ja kasviston tuhoamisesta .
74390016	kuljetustilanne	kuljetus#tilanne|kuljetus#tila	kuljetus#tilanne	Arvoisa puhemies , arvoisa komission jäsen , hyvät kollegat , Euroopan	kuljetustilanne	on esitettävissä muutamalla valaisevalla luvulla .
239348593	raiteiltaan	raitti|raide	raide	Te olette suistanut sen	raiteiltaan	, ja se on vahinko .
209939097	raiteiltaan	raitti|raide	raitti	On myös tarkasteltava alueellisia leviämistä koskevia kriisejä , erityisesti Iranin kanssa , joka kykenee viemään konferenssin	raiteiltaan	.
45758773	raiteiltaan	raitti|raide	raide	Pyrkimys voiton maksimointiin voi saada kestävän kehityksen pois	raiteiltaan	.
205287586	raiteiltaan	raitti|raide	raide	Vetoan siis muiden tavoin Turkin pääministeriin ja hallitukseen , jotta ne varmistavat oikeusvaltion luomisen , perustuslain uudistamisen , ja varmistavat , että nämä toimet eivät suista	raiteiltaan	Turkin edistymistä kohti EU:n jäsenyyttä , jota minä ja poliittinen puolueeni ja hallitukseni ylpeinä tuemme .
11427253	raiteiltaan	raitti|raide	raide	Voin kertoa teille , että Martin Bangemannin ja minun osastoni ovat muodostaneet yhteisen ryhmän , joka seuraa tapahtumia , sanoisinpa jopa aamusta iltaan , ja jos jotkut asiat näyttävät menevän vinoon tai suistuvan	raiteiltaan	, niin me puutumme niihin välittömästi tai niin pian kuin mahdollista .
135978624	siviilihallinnoille	siviili#hallinta|siviili#hallinto	siviili#hallinto	siirroista toinen tehtiin YUTP:n talousarviosta vakautussopimusta varten perustetuille siirtymävaiheen	siviilihallinnoille	ja toinen neuvoston talousarviosta YUTP:n talousarvioon .
21165505	Maidemme	Maa|Mai	Maa		Maidemme	yhteiskunnalliset olosuhteet vaativat sitä .
164065772	Maidemme	Maa|Mai	Maa		Maidemme	hallitukset ovat ymmärtäneet , että maahanmuutto on Euroopan yhteinen haaste , joka vaatii globaaleja ja yhteisiä toimia , jotka perustuvat solidaarisuuteen , keskinäiseen luottamukseen ja vastuun jakamiseen .
160325293	Maidemme	Maa|Mai	Maa		Maidemme	talouskasvu edellyttää yhteisiä toimia , jolloin yhden alueen kehittäminen tuottaa edistystä toisillakin alueilla .
119678283	Maidemme	Maa|Mai	Maa		Maidemme	väliset suhteet riippuvat siitä , tapahtuuko ihmisoikeuksien , laittoman maahanmuuton , joukkotuhoaseiden , erityisesti maan ydinaseohjelman , huumeiden , Lähi-idän , Afganistanin ja terrorismin vastaisen taistelun alalla perustavanlaatuisia muutoksia .
27375638	Maidemme	Maa|Mai	Maa		Maidemme	vastuuhenkilöitä jarruttavat ylivarovaisuus , rajoitukset ja huonosti peitellyt pyhät itsekkyydet .
210481514	tein	tee|tie	tehdä	Euroopan parlamentti on perustellusti tarttunut tilaisuuteen , toisin kuin korkea edustaja , jota muistutan jälleen , kuten	tein	tänä aamuna , että Cuba libre ei ole drinkin nimi :
2444212	tein	tee|tie	tehdä	Arvoisa rouva puhemies ,	tein	tiistai-iltana tässä parlamentissa selväksi BSE -tautia koskevan kantani .
210817067	teihin	tee|tie	te  	” Noam Shalit , joka on keskuudessamme tänään , panee toivonsa ja luottamuksensa	teihin	sekä Israelin Jumalaan saadakseen rakkaan poikansa vapautetuksi .
44144945	tein	tee|tie	tehdä	Näin todella	tein	.
228962839	tein	tee|tie	tehdä	Siksi	tein	aloitteen siitä , että maailman seitsemän suurimman kauppamaan kauppaministerit kokoontuisivat Davosiin keskustelemaan konkreettisesti siitä , miten voimme päästä eteenpäin loppupeliin Soulissa pidetyn G20-kokouksen antaman sysäyksen seurauksena .
140128666	Ainoina	Aino|Aina|Ainoa	Ainoa		Ainoina	suoraan etenevää polvea olevina jälkeläisinä pidetään direktiivissä niitä perheenjäseniä , jotka ovat alle 21-vuotiaita tai huollettavia .
203045184	Ainoina	Aino|Aina|Ainoa	Ainoa		Ainoina	Euroopan toimielinten suoraan valittuina edustajina katsomme kuitenkin olevan melko perusteltua todeta , että olemme luomisprosessissa vain eräänlainen apulainen , joka myöhemmin jätetään päätöksenteon ja valvontaprosessin ulkopuolelle .
4442895	Levin	Levi|Lev	Levi	Toivon myös , että Euroopan teollisuusjohtajat kuuntelevat tätä keskustelua ja että TOTAL ja Club Med seuraavat Heinekenin , Carlsbergin , PepsiCon ,	Levin	, Applen ja Thomas Cookin esimerkkiä .
70512371	Leville	Levi|Lev	Levi	Minä vähän epäilen , että tällaista laajaa haastattelua ei ehkä ole tapahtunut siinä virantäytössä , jossa herra	Leville	kävi varsin hyvin .
176497154	sotaisiin	sotaisa|sotainen	sotaisa	Ainoa vastaus näihin uusiin ja	sotaisiin	suunnitelmiin on se , että kansalaiset torjuvat imperialismin eivätkä varjele mitään harhakuvitelmia EU:n roolista .
39328156	sotaisin	sotaisa|sotainen	sotaisa	Armeija ja poliisi ottivat silloin yhteen terrorismin ja kumouksen väkivallan kanssa	sotaisin	menetelmin , ja kaikenlaisia valitettavia väärinkäytöksiä tapahtui .
59257449	sotaisiin	sotaisa|sotainen	sotaisa	Ne joka tapauksessa johtivat tälle vuosisadalle ja suuriin	sotaisiin	yhteenottoihin .
6150403	sotaisiin	sotaisa|sotainen	sotaisa	Köyhyys , hätä ja neuvottomuus ovat varmasti huomattavimmat syyt	sotaisiin	välien selvittelyihin .
83459562	sotaisille	sotaisa|sotainen	sotaisa	Kuten kokemukset muualla päin Eurooppaa surullisesti osoittavat , tällä tiellä on loppujen lopuksi aina löydettävissä oikeutus	sotaisille	yhteenotoille .
54531002	kerroilla	kerto|kerta	kerta	Arvoisa puhemies , ensinnäkin panen merkille sen , että - sen perusteella , mitä sanoitte - oikeudellinen yksikkö ja puhemies erehtyivät vuosina 1988 ja 1993 , koska molemmilla	kerroilla	oikeudellisen yksikön antaman lausunnon jälkeen tehtiin tietty tulkinta ja äänestys suoritettiin määräenemmistöllä .
86532027	kertoina	kerto|kerta	kerta	Arvoisa puhemies , olen hämmästynyt komission vastauksesta ja pelkään pahoin , että se osoittautuu hyvin pian epätodeksi , kuten vastaavat vakuuttelut myös aiempina	kertoina	ovat osoittautuneet .
25591601	kerroilla	kerto|kerta	kerta	Niillä harvoilla	kerroilla	, kun minulla on mahdollisuus katsoa televisiota , hämmästyn nykyään aina vain enemmän siitä , miten myös Skandinaviassa , Suomessa , jossa tällainen harhaanjohtava mainonta on kiellettyä , saatan nähdä esimerkiksi mainoksia aineista , jotka voivat muuttaa minkä tahansa kömpelyksen miksi tahansa keijukaiseksi näiden suurenmoisten kuntovalmisteiden avulla .
9828103	kerroilla	kerto|kerta	kerta	Arvoisa rouva puhemies , YUTP:n tämän vuoden tilannekatsaus osoittaa - kuten aiemmilla	kerroilla	- sen , että Euroopan unionin kansainvälistä toimintaa leimaa poliittisen tahdon puute , yhteisten tavoitteiden olemattomuus ja institutionaalisten mekanismien riittämättömyys .
89790805	kertoina	kerto|kerta	kerta	Mutta kuten hän on muinakin	kertoina	tehnyt , haluaisin , että hän pitäisi hyvin päättäväisesti ja yhtä rohkeasti mielessään , että ensi vuonna tulee käyttöön yhteinen raha ja että mikäli emme samaan aikaan onnistu toteuttamaan eräitä suuria uudistuksia , joita Tukholmassa ei tehty , vaarana on , että meillä on raha ilman että taloutta ohjataan , ja seuraukset ovat senkaltaisia kuin tämän hetken Euroopassa ja koko maailmassa .
35169088	kallisarvoisia	kallis#arvoinen|kallis#arvoisa	kallis#arvoinen	Vastustimme aina Neuvostoliittoa vapauden ja ihmisarvon käsitteiden nimessä , jotka ovat meille aina erittäin	kallisarvoisia	.
191412217	kallisarvoisimpaan	kallis#arvoinen|kallis#arvoisa	kallis#arvoinen	Erasmus Mundus -ohjelman tai muiden kahden alueen välisten järjestelmien puitteissa tapahtuva korkea-asteen koulutusyhteistyö olisi nähtävä investointina maan	kallisarvoisimpaan	pääomaan , inhimillisiin voimavaroihin .
61599040	kallisarvoisia	kallis#arvoinen|kallis#arvoisa	kallis#arvoinen	Nämä ovat	kallisarvoisia	voimavaroja nuorisoillemme , jotka uskovat lujasti tämän ohjelman kasvatuksellisiin ja koulutuksellisiin mahdollisuuksiin .
11208317	kallisarvoisimmassa	kallis#arvoinen|kallis#arvoisa	kallis#arvoinen	elämässä , kaikkein	kallisarvoisimmassa	mitä ihmisellä on vaalittavanaan .
226248163	kallisarvoisia	kallis#arvoinen|kallis#arvoisa	kallis#arvoinen	Olemme tyytyväisiä siihen , että näitä asioita käsitellään pohjoisimpia alueita koskevassa parlamentin mietinnössä ja että mietinnössä esitetään myös	kallisarvoisia	ehdotuksia siitä , mitä jatkossa olisi tehtävä .
96268614	suosikin	suo|suosikki	suosikki	Puolan teollisuus puolestaan on jäänyt täysin poljetuksi kilpajuoksussa Eurooppaan , jossa maa on siirretty liittymisessä	suosikin	asemasta ulkopuoliseksi .
158442052	tullitoimintojen	tulli#toiminta|tulli#toiminto	tulli#toiminta	Sisämarkkina- ja kuluttajansuojavaliokunta on omaksunut varsin jyrkän kannan vaatiessaan , että sähköisten	tullitoimintojen	on oltava maksuttomia ja että tullitoimipaikkojen on oltava avoinna 24 tuntia vuorokaudessa .
158464168	tullitoimintojen	tulli#toiminta|tulli#toiminto	tulli#toiminta	Nähdäkseni on selvää , että tulliasioitsijoilla on tarvittava tietämys ja kokemus	tullitoimintojen	suorittamisesta , joten heidät on katsottava valtuutetuiksi tulliedustajiksi .
43350359	tullitoimintojen	tulli#toiminta|tulli#toiminto	tulli#toiminta	Mutta juuri tämä automaatio , johon täällä on puututtu ,	tullitoimintojen	tietokoneistaminen ja keskinäinen verkottuminen , on aivan välttämätöntä .
187721698	Villejä	Ville|Villi	Villi		Villejä	uudistuksia ehdottavien osalta on tarkistettava tosiseikat .
144179814	haaveistaan	haavi|haave	haave	Kaikkein suurin tragedia olisi , jos Ukrainan kansalaiset luopuisivat	haaveistaan	ja uskostaan vapauteen ja oikeuteen .
106034811	haaveiksi	haavi|haave	haave	Niin kauan kuin nämä demokraattisen sivistysvaltion peruspiirteet puuttuvat monista Välimeren maista , toiveet naisten aseman paranemisesta jäävät	haaveiksi	, ja Barcelonan prosessin puitteissa toteutettavat päätöslauselmat jäävät ilman vastakaikua .
85556320	haaveissa	haavi|haave	haave	Tarvitsemme viestin , joka saisi yhdentymishalun syttymään aidosti uuteen liekkiin , mikä on ennen kaikkea Maghreb-maiden	haaveissa	nykyään , ja siihen unionin on annettava kunnianhimoinen sekä runsaskätinen panoksensa .
39191562	haaveissaan	haavi|haave	haave	Saksalainen kirjailija Peter Schneider pettyy aina	haaveissaan	unelmiensa Eurooppa-neidosta sen vuoksi , että yhtenäisvaluutan ansiosta toimintakykyisten sisämarkkinoiden dynamiikalle ei löydy vastinetta muilla politiikan aloilla .
63187367	haaveiksi	haavi|haave	haave	Jos kilpailupolitiikka tehdään alisteiseksi sosiaali- ja ympäristöpoliittisille tavoitteille , todellinen tehokkuus ja taloudellinen kasvu jäävät	haaveiksi	.
42833863	avaintoimintoina	avain#toiminta|avain#toiminto	avain#toiminto	Mitä tulee sosiaalis-taloudelliseen tutkimukseen , komission tavoite on esittää sosiaalis-taloudelliset näkökulmat tämän horisontaalisen ohjelman	avaintoimintoina	, mikä on erittäin myönteinen idea .
123652401	huvin	huvi|hupi	huvi	Eräs asepalveluksesta kieltäytynyt on puolestaan suorittanut palvelustaan mielisairaalassa ja kiduttanut potilaita	huvin	vuoksi .
230648095	huvin	huvi|hupi	huvi	Ei kuitenkaan unohdeta sitä , että tietoja ei pyydetä	huvin	vuoksi .
