TOKENID	WORDFORM	LEMMACANDIDATES	GOLDLEMMA	TEXTBEFORE	WORD	TEXTAFTER
26036195	geduldet	dulden|gedulden	dulden	Der absolute Mangel an klaren Sanktionen gegen diejenigen , die ihren Verpflichtungen nicht nachkommen und - wie der Berichterstatter , den ich hiermit beglückwünschen möchte , zu Recht vorschlägt - , beispielsweise durch Streichung oder Reduzierung der entsprechenden Quoten bestraft werden sollten , und die mangelnde Anerkennung derjenigen , die ihren Verpflichtungen nachgekommen sind und diese sogar überschritten haben , darf in der nahen Zukunft nicht	geduldet	werden .
2810828	geduldet	dulden|gedulden	dulden	Es kann nicht	geduldet	werden , daß das Dogma des freien Handels Fragen des Tierschutzes außer Kraft setzt .
72782076	geduldet	dulden|gedulden	dulden	Auf jeden Fall können wir zusammenfassend in aller Kürze sagen , daß es bedeutende Fortschritte bei der Anerkennung der Rechte der Frauen als Menschenrechte mit sehr entschiedenen politischen Aussagen in der Richtung gab , daß eine Verletzung dieser Menschenrechte nicht	geduldet	würde , mit allen Praktiken der Verletzung der Menschenrechte aufzuräumen sei , auf den Ausschuß für den Status der Frau und das Zusatzprotokoll Bezug genommen würde und der Rassismus und die Gewalt aus rassistischen Gründen zu bekämpfen wäre .
122523111	durchführen	durchfahren|durchführen	durchführen	Allerdings kann keine Kontrolle der eingeführten Erzeugnisse jemals so umfassend , so genau und so streng sein wie die , welche die Mitgliedstaaten und die Berufsorganisationen selbst	durchführen	.
125135127	durchführen	durchfahren|durchführen	durchführen	Völlig zu Recht fordert der Sicherheitsrat nachdrücklich , dass sämtliche genannten Länder ihre eigenen Ermittlungen	durchführen	, auf deren Grundlage rechtliche Schritte unternommen werden können .
144349702	durchführen	durchfahren|durchführen	durchführen	Können wir bitte zwei getrennte Abstimmungen	durchführen	, erstens über den mündlichen Antrag von Herrn Sonik und zweitens über das Paket UEN -Schulz-Poettering ?
199058134	durchführen	durchfahren|durchführen	durchführen	Daher bin ich der Ansicht , dass es von größter Wichtigkeit ist , dass die kasachischen Justizbehörden umgehend und unter voller Berücksichtigung von Transparenz und Rechtsstaatlichkeit eine zweite umfassende und faire Untersuchung der mit dem Ereignis verbundenen Umstände	durchführen	und die Verurteilung und das Strafmaß von Herrn Zhovtis revidieren .
200480489	durchführen	durchfahren|durchführen	durchführen	Gerade die Forschungs- und Innovationsanstrengungen durch öffentliche und private Unternehmen müssen dabei besonders unterstützt werden , die diese in dem Bestreben	durchführen	, neue Behandlungsmöglichkeiten zu erforschen und das Voranschreiten dieser Krankheiten aufzuhalten .
28422227	durchführen	durchfahren|durchführen	durchführen	Deshalb ist es sehr erfreulich , daß ein Änderungsvorschlag gemacht worden ist , demzufolge die Kommission drei Jahre nach Annahme der Richtlinie eine Revision	durchführen	muß .
56688764	durchführen	durchfahren|durchführen	durchführen	Um dieses Gebäude effizient auszunutzen , müssen dafür sorgen , daß wir unsere Plenarsitzung einschließlich des Freitags hier in vollem Umfang	durchführen	, damit wir dann eine ganze Woche haben , in der wir uns , wie die Kollegin Ludford vorgeschlagen hat , ganz besonders intensiv um unsere Wahlkreise kümmern können .
58748686	durchführen	durchfahren|durchführen	durchführen	Meines Erachtens hätten wir die Angelegenheit in der ganz normalen Abfolge erörtern und die Abstimmung heute ohne irgendwelche Zwischenfälle	durchführen	sollen .
6650382	durchführen	durchfahren|durchführen	durchführen	Ich will Ihnen nicht verhehlen , daß wir diese Operation auch deshalb	durchführen	, weil dies einer der seltenen Fälle ist -beim Mercosur mehr als bei Chile- , in denen die Europäische Union der wichtigste Wirtschafts- und Handelspartner ist und auch als Investor die Vereinigten Staaten und Japan zurückgedrängt hat .
99054460	durchführen	durchfahren|durchführen	durchführen	Die lokalen NRO im Gesundheitssektor müssen über entsprechende Mittel verfügen , damit sie ihre tägliche Arbeit im Bereich der Prävention und der Krankenversorgung erfolgreich	durchführen	können .
132422100	einführen	einfahren|einführen	einführen	Wir müssen uns schneller informieren , besser austauschen , benchmarking	einführen	und uns an den besten Praktiken orientieren .
170148465	einführen	einfahren|einführen	einführen	Wenn jetzt die Kommission in ihrem Vorschlag sagt , wir müssen möglicherweise bei diesen Zahlungen Staffelungen machen , wir müssen eine Modulation	einführen	in die zweite Säule , weil hier auf Arbeitskraft , auf Ökologie mehr Leistung erbracht wird von den Geldern , dann ist das ein Vorgriff auf das , was wir jetzt zu erwarten haben , nämlich die Diskussion nach dieser Veröffentlichung .
219239358	einführen	einfahren|einführen	einführen	In der sozialen Marktwirtschaft , die im Vertrag festgelegt und gefördert wird , müssen die Behörden Abwicklungsmaßnahmen	einführen	mit dem Ziel , das richtige Gleichgewicht schneller und leichter zu finden , so dass Probleme für die Öffentlichkeit vermieden werden oder zumindest auf ein Minimum reduziert werden .
239608454	einführen	einfahren|einführen	einführen	Wenn Sie z.B. in der Forschungspolitik eine Belohnung , einen Preis ,	einführen	für ein besonders gelungenes innovatives Projekt , dann ist es viel einfacher , das zu überwachen .
55319290	einführen	einfahren|einführen	einführen	Drittens wollen wir ein Schnellwarnsystem	einführen	auch für Futtermittel , ähnlich wie es bereits für Lebensmittel existiert .
97947443	einführen	einfahren|einführen	einführen	Auf Unionsebene geht es darum , dass wir die Bedingungen für die Einreise und den Aufenthalt dieser Migranten festlegen und ein kohärentes System für die Visaerteilung erstellen , dass wir die Mobilität zwischen den Mitgliedstaaten für Drittstaatenangehörige regeln und Maßnahmen gegen Schlepperunwesen , gegen Illegalität ebenso	einführen	wie Kooperationen , Informationskampagnen in und mit den Herkunftsländern .
111801061	eingestanden	eingestehen|einstehen	eingestehen	Es wird	eingestanden	, dass das Hauptziel in der Entmachtung von Saddam Hussein bestand , während die für seinen Sturz gestellten Bedingungen und Voraussetzungen darauf hinauslaufen , dass er nicht gestürzt wird .
119513474	eingestanden	eingestehen|einstehen	eingestehen	In diesem wird vorgeschlagen , den gesamten Beitrag der EU zur KEDO , der sich auf 20 Millionen Euro beläuft , auf Grund dessen , dass die nordkoreanische Regierung	eingestanden	hat , an der Forschung und Herstellung im Bereich von Kernwaffen zu arbeiten , in die Reserve einzustellen .
137687052	eingestanden	eingestehen|einstehen	eingestehen	Das ist ein weiterer schwerwiegender Mangel der GFP , der sogar durch die Kommission	eingestanden	wird , welche die künftigen grenzübergreifenden regionalen beratenden Ausschüsse zu einem Forum machen will , in dem diese beiden Kategorien von Daten einander gegenübergestellt werden .
141397671	eingestanden	eingestehen|einstehen	eingestehen	Wir sollten uns aber vor einer liberalen Flucht nach vorn hüten , denn die Kommission hat selbst in ihrem Bericht an den Europäischen Rat vom März dieses Jahres auf ihre Weise das Scheitern dieser Strategie	eingestanden	, die die Union bis zum Jahr 2010 zu Vollbeschäftigung und einer dynamischen Wissensgesellschaft führen sollte .
188855080	eingestanden	eingestehen|einstehen	einstehen	Ich habe für den von der Fraktion der Grünen/Freie Europäische Allianz als Alternative zu Anna Záborskás Bericht eingebrachten Entschließungsantrag gestimmt , da er bessere Antworten auf die wirklichen Probleme bietet , die nach wie vor bestehen in Bezug auf das Erreichen echter Gleichberechtigung zwischen Mann und Frau , die Anerkennung eines veränderten Familienbildes , die Vereinbarkeit von Privat- und Berufsleben , und in Bezug auf die positiven Gestaltungsmaßnahmen , für die wir als Sozialisten stets	eingestanden	sind .
193720925	eingestanden	eingestehen|einstehen	eingestehen	Wenn dies nicht einfach möglich ist - wie die Kommission ja bereits selber teilweise	eingestanden	hat - , dann brauchen wir die mitgliedstaatlichen Rechtsinstrumente mit an Bord und brauchen mit den mitgliedstaatlichen Parlamenten ein gemeinsames Vorgehen , um dem europäischen Verbraucher zu dienen .
215495153	eingestanden	eingestehen|einstehen	eingestehen	Obwohl sie Verspätungen im Hinblick auf die zögerlichen Maßnahmen , die sie ergriffen haben ,	eingestanden	haben , haben die Vertreter des spanischen Ratsvorsitzes der EU und der Kommission hier erneut bestätigt , dass sie am gleichen Weg der kapitalistischen Integration festhalten und sie fortsetzen werden ;
65624328	eingestanden	eingestehen|einstehen	eingestehen	Wie in dem Bericht , den wir in den nächsten Wochen annehmen werden ,	eingestanden	wird , enthält die Richtlinie einige Schlupflöcher .
66273799	eingestanden	eingestehen|einstehen	eingestehen	Wie verläßlich sind die Fangangaben , solange noch immer große Mengen Fisch illegal angelandet werden , wie David Cox vom Verband britischer Fischer unlängst in Fishing News	eingestanden	hat ?
9821251	eingestanden	eingestehen|einstehen	eingestehen	Es muß auch mit Beschämung und peinlicher Berührung	eingestanden	werden , daß unsere Reaktion auf die kürzliche Albanien-Krise in mancherlei Hinsicht zu wünschen übrig ließ .
106567678	Ihm	er|es	er		Ihm	müssen auch , wie im Römischen Statut vorgesehen , Justizbeamte , Männer wie Frauen , angehören .
111524245	Ihm	er|es	er		Ihm	geht es wie jenen Zeitgenossen , die alles durch die rosarote Brille sehen .
145396263	Ihm	er|es	er		Ihm	fehlt Ehrgeiz im Bereich Entwicklungshilfe , insbesondere durch die Einführung einer Steuer auf Kapitalbewegungen .
153390586	Ihm	er|es	er		Ihm	obliegen nicht nur die Gesetzgebung und die Vereinfachung von Gesetzen , sondern auch die Überwachung bestimmter Beschlüsse sowie die Prüfung der Frage , inwieweit diese Beschlüsse ordnungsgemäß umgesetzt worden sind .
163852406	Ihm	er|es	er		Ihm	stehen jedoch noch mehrere besondere Herausforderungen bevor .
182542552	Ihm	er|es	er		Ihm	wird erzählt , dass der Flughafen „ soundso “ nicht innerhalb von 24 Stunden einsatzbereit gemacht werden kann - in Sarajevo wurden technische Anlagen für die Öffnung eines Flughafens bereitgestellt - das ist also nicht wirklich ein Problem .
188917434	Ihm	er|es	er		Ihm	in so einer Situation nicht zu helfen , das ist falsch und widerspricht zumindest dem Selbstverständnis meiner Fraktion von den Aufgaben der Europäischen Union , nämlich dafür zu sorgen , dass die Rechtsgemeinschaft , die wir nach innen schaffen , durch uns als Faktor in die internationale Politik exportiert wird .
3639005	Ihm	er|es	er		Ihm	wurde sogar das Recht eingeräumt , eine Erklärung zur Abstimmung abzugeben .
85152162	Ihm	er|es	er		Ihm	wird offensichtlich vorgeworfen , Spionage betrieben zu haben .
86405173	Ihm	er|es	er		Ihm	muss das Urhebergesetz dienen .
133494157	Etiketten	Etikett|Etikette	Etikette	Doch diese Maßnahmen sind vor allem Augenauswischerei , weil die	Etiketten	, die Kontrollen und andere Überprüfungen wohl kaum die Weiterverbreitung der Pollen und die gegenseitige Beeinflussung der beiden Nahrungsmittelkreisläufe mit und ohne GVO sowie letztlich den Sieg der Biotechnologien des multinationalen Konzerns Monsanto und anderer großer amerikanischer Saatgutunternehmen verhindern können .
153533880	Etiketten	Etikett|Etikette	Etikett	In der Verordnung des Rates sind mehrere spezielle Details aufgeführt , die auf den Weinetiketten zu erscheinen haben , und nur der Rat kann es zur Pflicht machen , dass auf	Etiketten	das Holzspäneverfahren zu nennen ist .
196580189	Etiketten	Etikett|Etikette	Etikett	Lassen Sie uns zweckmäßige	Etiketten	einführen , sodass die Verbraucher in Zukunft genau wissen , was sie kaufen .
211295687	Etiketten	Etikett|Etikette	Etikett	Die Bedeutung einer intensiven Kampagne zur Schulung und Information von Verbrauchern , durchgeführt von der Europäischen Union in Bezug auf die verschiedenen europäischen	Etiketten	und die von ihnen repräsentierten Garantien , und die Aufnahme der geografischen Angaben in internationale Register sowie deren internationale Anerkennung durch die WHO .
214679065	Etiketten	Etikett|Etikette	Etikett	Meiner Meinung nach hätten wir , bevor der verpflichtende „ Made in “ -Hinweis auf den	Etiketten	von in Europa verkauften Kleidungsstücken angenommen worden ist , sicherstellen müssen , dass der Verordnungsentwurf über „ Made in “ -Etiketten alle erforderlichen Garantien , insbesondere hinsichtlich der Umsetzungsmethoden , enthält .
215577721	Etiketten	Etikett|Etikette	Etikett	Das wird auch zu einer Zunahme des Vertrauens in die technische Bewertung und die auf den	Etiketten	angegebenen Informationen führen .
216433966	Etiketten	Etikett|Etikette	Etikett	Auf	Etiketten	von Lebensmitteln muss das Herstellungsland vermerkt sein , dies gilt auch für verarbeitete Lebensmittel .
33810439	Etiketten	Etikett|Etikette	Etikett	Also einen Wust von Einzelheiten zum Inhalt der	Etiketten	zu machen , ist immer auf meinen Widerstand gestoßen , weil damit die Etikettierung für den Verbraucher sinnlos wird .
71162276	Etiketten	Etikett|Etikette	Etikett	So haben wir im letzten Monat z.B. beschlossen , daß auf das Fleisch	Etiketten	geklebt werden , um die Verbraucher zu informieren .
91404383	Etiketten	Etikett|Etikette	Etikett	Es liegt jedoch ein Änderungsantrag vor , der ausdrücklich eine Überprüfung der Verordnung Nr. 2815/98 vorsieht , wonach Olivenöl auch ohne die Angabe des Ursprungs auf den	Etiketten	vermarktet werden kann und sich der Ursprung nach dem Standort der Ölmühle und nicht nach dem Ort , wo das Erzeugnis geerntet wird , bestimmt .
117918276	führen	fahren|führen	führen	Es geht um eine Richtlinie , die meiner Ansicht nach mit ihren vier Hauptelementen - einer Methode zur Berechnung der integrierten Energieprofile von Gebäuden , der Anwendung von Mindestnormen für Energieprofile auf neue Gebäude und bestehende Gebäude bei ihrer Renovierung sowie die Einführung eines Zertifizierungssystems für die Energieprofile - dazu	führen	wird , dass die Verbraucher umfassender informiert und die Gebäudeeigentümer veranlasst werden , sowohl in ihrem eigenen Interesse als auch im Interesse der Mieter in die Verbesserung der Energieeffizienz zu investieren .
120280967	führen	fahren|führen	führen	Zur Verwirklichung der Ziele von Johannesburg	führen	wir derzeit den Aktionsplan zur Artenvielfalt durch , um dem Verlust der Artenvielfalt bis 2010 Einhalt zu gebieten , und mit Hilfe einer reformierten GFP wollen wir die Bestände noch vor 2015 wieder aufstocken .
135091934	führen	fahren|führen	führen	Überkapazitäten	führen	in einigen Sektoren , beispielsweise im Kaffeesektor , zu erheblichen Problemen .
136906680	führen	fahren|führen	führen	Immer wenn es der europäischen Wirtschaft schlecht geht ,	führen	wir eine Debatte über die TEN .
137929930	führen	fahren|führen	führen	Entlassungen dieses Ausmaßes sind alles andere als ein Meilenstein auf dem Weg zur Erfüllung der Lissabonner Agenda und	führen	zu verheerenden Verwerfungen in den entsprechenden Regionen .
157793884	führen	fahren|führen	führen	Verzögerungen bei der Umsetzung der Projekte	führen	zu Überstunden und Überstundenkosten , welche die rumänische Seite nicht zu zahlen bereit ist .
232929318	führen	fahren|führen	führen	Des Weiteren	führen	wir zusammen mit den Behörden des Landes für die Periode 2011-2013 einen sektorbasierten Ansatz ein .
236079793	führen	fahren|führen	führen	Die Debatte , die wir hier führen ,	führen	wir über die letzte Diktatur , die es in Europa gibt .
3294724	führen	fahren|führen	führen	Die Technik schreitet fort , neue Erkenntnisse	führen	dazu , daß Gesetze angepaßt werden .
38627944	führen	fahren|führen	führen	Die von Frau Dührkop in diesem Zusammenhang vorgesehene Reserve von etwa 200 Mio. für die außenwirtschaftlichen Aktivitäten gehen in die richtige Richtung und	führen	zu einer besseren Verteilung der vorhandenen Mittel .
104812109	fällt	fallen|fällen	fallen	Solange , Herr Kommissar , - ich weiß sehr wohl , dass dies nicht in Ihren Zuständigkeitsbereich	fällt	- in den Mitgliedstaaten verschiedene zulässige Höchstgeschwindigkeiten gelten , ist dies alles sinnlos .
110123959	fällt	fallen|fällen	fallen	Wenngleich Bildung in die Zuständigkeit der Einzelstaaten	fällt	, ist eine engere Abstimmung möglich und notwendig .
125712651	fällt	fallen|fällen	fallen	Was mir aber schwer	fällt	zu akzeptieren , das ist Kritik für Dinge , die ich nie gesagt habe und die nicht in meinem Vorschlag stehen .
130868885	fällt	fallen|fällen	fällen	Damit sollte u.a. unmissverständlich deutlich gemacht werden , dass die Kommission kein vorschnelles Urteil in ihrem Fall	fällt	, in einem Fall , der aufgrund von Anscheinsbeweisen in Bezug darauf , dass sie sich möglicherweise schwer wiegender Verletzungen des Beamtenstatuts schuldig gemacht hat , noch geprüft wird .
139672052	fällt	fallen|fällen	fällen	Jegliche Einmischung der Kommission hinsichtlich der Definitionen und Regeln , die die Ausgleichzahlungen rechtfertigen , wäre inakzeptabel , denn dies	fällt	nicht in ihre Zuständigkeit .
140246588	fällt	fallen|fällen	fallen	Es	fällt	wirklich schwer , zur Tagesordnung überzugehen .
208036659	fällt	fallen|fällen	fallen	Da dies direkt in meinen Verantwortungsbereich	fällt	, lohnt es sich daran zu erinnern , dass die Kommission humanitären Organisationen , deren Projekte darauf abzielen , palästinensischen Zivilisten lebensnotwendige Hilfe und Schutz zukommen zu lassen , beträchtliche Mittel zur Verfügung stellt .
26671208	fällt	fallen|fällen	fallen	Daher	fällt	die Allianz aus dem Anwendungsbereich der Richtlinie über den europäischen Betriebsrat heraus .
86624842	fällt	fallen|fällen	fallen	Uns	fällt	morgen die Aufgabe zu , diese Rechtsvorschrift zu unterstützen , weil wir uns sonst nicht vorwärts , sondern rückwärts bewegen .
87860311	fällt	fallen|fällen	fallen	Was den Entschädigungsantrag anbetrifft , so wissen Sie sicherlich , dass dieser Punkt in die Zuständigkeit meines Kollegen , Herrn Fischler ,	fällt	, aber ich gehe davon aus , dass die Behörden des Vereinigten Königreichs beabsichtigen , einen Antrag zu stellen , es ist gut möglich , dass er derzeit in Vorbereitung ist .
106088877	gefallen	fallen|gefallen	fallen	Wir müssen auch präventiv die Sozialpolitik gestalten , und nicht immer nur , wenn das Kind sozusagen bereits in den Brunnen	gefallen	ist .
119957271	gefallen	fallen|gefallen	gefallen	Gestern , Herr Kommissar , habe ich etwas gelesen , das mir	gefallen	hat .
128310200	gefallen	fallen|gefallen	fallen	Es verblüfft mich ganz einfach , dass zwischen all diesen Bemerkungen zur Rechtmäßigkeit nicht ein Wort über die gegen die Genfer Konvention verstoßende Behandlung von Kriegsgefangenen durch die Iraker	gefallen	ist .
166788930	gefallen	fallen|gefallen	fallen	Das alles ist nicht vom Himmel	gefallen	.
174019060	gefallen	fallen|gefallen	fallen	Gestern ist Rednern - einschließlich unseres Gastes , des Ministerpräsidenten von Portugal - so lautstark ins Wort	gefallen	worden , dass sie nicht mehr zu hören waren .
202451661	gefallen	fallen|gefallen	fallen	In diesem Jahr ist der Olivenpreis jedoch auf 30 Euro für 100 Kilo	gefallen	und der Einkaufspreis für Öl auf 2,50 Euro je Kilo , und diese Preise bedeuten für die Erzeuger ein Verlustgeschäft .
216568708	gefallen	fallen|gefallen	fallen	Aus Rücksicht auf die Arbeiter der Irish Waterford Crystal , die der Globalisierung zum Opfer	gefallen	sind , enthalte ich mich meiner Stimme .
223656427	gefallen	fallen|gefallen	fallen	Der Wert dieses Indikators für Westeuropa ist von etwa 160 im August 2008 auf etwa 30 im April 2009	gefallen	.
51188357	gefallen	fallen|gefallen	gefallen	Wenn wir uns auch über dieses Dokument freuen , hätte es uns noch viel mehr	gefallen	, wie ich auch zum vorangegangenen Thema sagte , einen kraftvollen Impuls seitens des Rates zu erhalten und die Annahme von Dokumenten zu erleben , die schon auf dem Tisch liegen und von der Kommission in den letzten Monaten , um nicht zu sagen Jahren , vorgelegt wurden .
58010256	gefallen	fallen|gefallen	fallen	Dabei sind heute schon mehrere Stichworte	gefallen	.
102616113	Fischen	Fisch|Fischen	Fisch	Unannehmbare Erlaubnis einer stärkeren Schwermetallbelastung von Fischen Der dänischen Tageszeitung „ Politiken “ vom 15. November 2001 ist zu entnehmen , dass die EU die Grenzwerte anheben und eine stärkere Schwermetallbelastung von	Fischen	zulassen will , obwohl ein Sachverständigenausschuss der EU soeben strengere Bestimmungen empfohlen hat .
128543064	Fischen	Fisch|Fischen	Fischen	Das ist eine Fehlannahme , denn auch wenn es Schiffseignern in einigen Fällen tatsächlich gelungen ist , ihre Schiffe zum	Fischen	in andere Fanggründe zu schicken , kommen sie doch nur auf einen Teil des Gewinns oder können nur eine Teilalternative zu dem bieten , was sie zuvor bei den marokkanischen Fischbeständen hatten .
145238554	Fischen	Fisch|Fischen	Fisch	Eines der Argumente , das uns am häufigsten entgegengehalten wird , um die Rechtfertigung einer Gemeinsamen Fischereipolitik zu bestreiten , betrifft die Masse der Rückwürfe von	Fischen	, zu denen sich unsere Fischer aufgrund der geltenden Rechtsvorschriften veranlasst sehen und von denen die meisten ohnehin ihren Fang nicht überleben .
176244989	Fischen	Fisch|Fischen	Fisch	In einem Wirtschaftsbereich , der bereits durch die Begrenzung der Anzahl von Seetagen eingeschränkt ist , wird die für das Fangen und Aussortieren von kommerziell wertlosen	Fischen	verbrauchte Zeit als Verlust kostbarer Zeit angesehen .
183520064	Fischen	Fisch|Fischen	Fischen	Der Text wurde so formuliert , dass den Flaggenmitgliedstaaten Verpflichtungen auferlegt werden , und zwar im Wesentlichen die , sicherzustellen , dass keine Fanggenehmigungen für das	Fischen	mit Grundfanggeräten erteilt werden , sofern eine Prüfung der potenziellen Auswirkungen nicht ein geringes Risiko für empfindliche marine Ökosysteme ergibt .
208366743	Fischen	Fisch|Fischen	Fisch	und die Entwicklung anderer Sektoren , die am Fang oder der Verarbeitung von	Fischen	beteiligt sind .
225442260	Fischen	Fisch|Fischen	Fisch	Einige dieser Länder im Pazifik importieren Fisch , obwohl es im Meer um sie herum von	Fischen	nur so wimmelt !
48205717	Fischen	Fisch|Fischen	Fisch	Die Ausrottung wird jedoch nicht den sozialen und wirtschaftlichen Folgen der Vernichtung von Millionen	Fischen	gerecht .
84515907	Fischen	Fisch|Fischen	Fischen	Ganz besonders begrüße ich auch Ihre Unterstützung im Kampf gegen illegales und verantwortungsloses	Fischen	.
88039568	Fischen	Fisch|Fischen	Fischen	Das letzte Problem besteht darin , bestimmten Ländern , die bisher keine Fangquoten haben , das	Fischen	in ihren ausschließlichen Wirtschaftsgebieten zu gestatten .
114922519	Fliegen	Fliege|Fliegen	Fliegen	Sie sehen das	Fliegen	in Europa als sicher .
170319970	Fliegen	Fliege|Fliegen	Fliegen	Es ist allgemein bekannt , dass die durch das	Fliegen	verursachte Umweltzerstörung , abgesehen vom Ausstoß von Treibhausgasen , zu einem großen Teil während des Start , der Landung und des Rollens entsteht .
171368977	Fliegen	Fliege|Fliegen	Fliege	Seine ursprünglichen Absichten waren löblich , denn er wollte zwei	Fliegen	mit einer Klappe schlagen :
212144099	Fliegen	Fliege|Fliegen	Fliegen	Es stimmt , dass	Fliegen	die sicherste Art der Fortbewegung ist .
23753055	Fliegen	Fliege|Fliegen	Fliegen	Aus unseren Erfahrungen beim	Fliegen	wissen wir alle , daß niemand von den Flugbegleitern Kenntnis nimmt , wenn sie uns die Sicherheitsanweisungen geben ;
70436901	Fliegen	Fliege|Fliegen	Fliegen	Doch dank der Liberalisierung der Märkte gehört das	Fliegen	für die meisten Menschen heute zum Alltag .
7895620	Fliegen	Fliege|Fliegen	Fliege	Damit werden also nicht zwei , sondern sogar drei	Fliegen	mit einer Klappe geschlagen .
83558315	Fliegen	Fliege|Fliegen	Fliegen	Früher war	Fliegen	teuer .
85031604	Fliegen	Fliege|Fliegen	Fliegen		Fliegen	muss aber vor allem anderen sicher sein .
85259225	Fliegen	Fliege|Fliegen	Fliegen	Kommt es nicht ab und an vor , dass	Fliegen	nicht sicher ist ?
110861168	fortführen	fortfahren|fortführen	fortführen	Wir müssen diesen Kampf solange	fortführen	, bis auch die Dokumente , die derzeit noch als nichtöffentliche Dokumente der europäischen Institutionen gelten , für Betroffene oder einfach nur Interessierte zugänglich sind .
188855090	fortführen	fortfahren|fortführen	fortführen	Wir können weder Klischeevorstellungen in alle Ewigkeit	fortführen	noch unsere wirtschaftlichen Schwierigkeiten damit lösen , dass wir Frauen dazu zwingen , Zuhause zu bleiben , um sich um alte Menschen und Kinder zu kümmern , wie es in Anna Záborskás Text heißt .
217718683	fortführen	fortfahren|fortführen	fortführen	Ich denke , es ist wichtig , dass wir deswegen diese Zustände weiterhin anprangern und dass wir auch als Europäische Union unsere schwarze Liste weiterhin	fortführen	gegenüber denjenigen , die die Menschen in Simbabwe weiterhin unterdrücken .
25613368	fortführen	fortfahren|fortführen	fortführen	Das Programm sollte die nationalen Programme zur Arbeitsplatzbeschaffung für Jugendliche nicht anders	fortführen	als in Form der Förderung der notwendigen Kenntnisse und Fähigkeiten für den Zugang zum Arbeitsleben .
186946781	gefroren	frieren|gefrieren	gefrieren	Draußen hat es	gefroren	- das ist eine Gefahr .
196094463	gefroren	frieren|gefrieren	gefrieren	Es ist vorgeschlagen worden , den Grundsatz , dass Geflügelfleisch , das als „ frisch “ verkauft wird , vorher nicht	gefroren	gewesen sein darf , zu stärken , um Geflügelfleischzubereitungen und -produkte mit einzubeziehen , und ich stimme dem zu .
122049724	gehört	gehören|hören	hören	Ich habe jedoch nicht	gehört	, wie es um die Zulässigkeit der Änderungsanträge 4 und 17 steht .
142034183	gehört	gehören|hören	hören	Ich habe	gehört	, dass sich in Brasilien die Hand voll Zuckerbarone , die die Zuckerindustrie kontrollieren , in Erwartung unserer vorgeschlagenen Reformen schon die Lippen lecken , während diejenigen , die in dieser Industrie tätig sind - die Arbeiter und Menschen ohne Landbesitz - in Angst und Unruhe leben , weil sie glauben , dass sich ihre Lage verschlechtert .
160064638	gehört	gehören|hören	hören	Wenn die Übersetzung , die ich	gehört	habe , korrekt war , möchte ich ihn bitten , die von ihm verwendete Bezeichnung „ Nordzypern “ , die es weder auf Landkarten noch auf Banknoten gibt , zu korrigieren .
186275280	gehört	gehören|hören	hören	Wenn es uns nicht gelingt , Wege zu finden , um mit Russland zu sprechen , dann werden wir zweifellos in große Schwierigkeiten kommen , umso mehr da Sie	gehört	haben , wie Präsident Medwedew gestern ausführte , dass Sanktionen in beide Richtungen verhängt werden können , und da macht es schon einen Unterschied , ob man Gas liefert oder ob man es nicht haben will .
199871763	gehört	gehören|hören	hören	Ich bin davon überzeugt , dass Sie alle , meine Damen und Herren - oder zumindest all diejenigen , die noch hier sind - , dass Sie alle bereits von Künstlern	gehört	haben , die daran gehindert wurden , an einem Festival teilzunehmen , oder von Sportlern , die bei Wettkämpfen nicht an den Start gehen konnten .
205710492	gehört	gehören|hören	hören	Herr Präsident , wie wir	gehört	haben und uns allen bewusst ist , sind Steuern eine heikle Angelegenheit .
239446367	gehört	gehören|hören	hören	Ich möchte mich für all die Beiträge bedanken , die wir im Verlauf dieser Aussprache	gehört	haben , und ganz besonders möchte ich - weil ich das vorhin versäumt habe - für ihre überaus wichtige Rolle bei all dem Frau Bowles , der Vorsitzenden des Ausschusses für Wirtschaft und Währung , danken .
30205602	gehört	gehören|hören	hören	Wieviel Zeit werden einige der Mitgliedstaaten noch benötigen um zu begreifen , daß ihre Meinung eher	gehört	wird , ihre Interessen besser vertreten werden und ihr Beitrag zur Aufrechterhaltung des Friedens und der Demokratie in der Welt effizienter ist , wenn sie mit einer starken gemeinsamen Stimme im Namen der Europäischen Union sprechen , wenn sie eine gemeinsame Außen- und Sicherheitspolitik verfolgen und wenn sie über vereinte Streitkräfte verfügen , um ihre Diplomatie zu unterstützen ?
3550864	gehört	gehören|hören	hören	Mein Dank gilt auch allen anderen Mitarbeitern des Ausschusses , dem Sekretariat , den technischen Diensten ( vom Übersetzungsdienst bis zur Druckerei ) , der Kommission sowie den vielen Zeugen , ohne deren Aussagen wir die Empfehlungen nicht hätten erarbeiten können , denn jede Empfehlung beruht auf Aussagen , die wir	gehört	haben .
74010772	gehört	gehören|hören	hören	Nachdem ich die Rede von Präsident Chirac	gehört	habe , weiß ich nicht , in welcher Partei er am Ende seiner politischen Laufbahn noch landen wird .
118378463	gelangt	gelangen|gelingen	gelangen	In Irland werden Pferde in erster Linie für sportliche Zwecke gezüchtet , und ihr Fleisch	gelangt	nicht in die Nahrungskette .
120895702	gelangt	gelangen|gelingen	gelangen	Trotzdem	gelangt	der Rat zu der Einschätzung , dass die Durchführung der Wahl ein wichtiger Schritt hin zur Wiedereinführung der Demokratie in Pakistan war .
